observation_date,Monthly_CPI,Monthly_Inflation,Monthly_Rate,Bank Rate
1992-11-01,20.23164382106470,1,0,12
1992-12-01,20.14872724800760,0.9959016393,-0.4098360657,12
1993-01-01,19.98289410193180,0.9917695473,-0.8230452675,12
1993-02-01,19.98289410193180,1,0,12
1993-03-01,20.14872724800760,1.008298755,0.8298755187,12
1993-04-01,20.31456039408350,1.008230453,0.8230452675,12
1993-05-01,20.39747696714060,1.004081633,0.4081632654,12
1993-06-01,20.72914325929230,1.016260163,1.62601626,12
1993-07-01,20.97789297838700,1.012,1.2,12
1993-08-01,21.22664269751990,1.011857708,1.185770751,12
1993-09-01,21.47539241661460,1.01171875,1.171875,12
1993-10-01,21.72414213574750,1.011583012,1.158301158,12
1993-11-01,21.97289185484220,1.011450382,1.145038168,12
1993-12-01,21.88997528178510,0.9962264151,-0.3773584907,12
1994-01-01,21.80705870876630,0.9962121212,-0.3787878787,12
1994-02-01,21.97289185484220,1.007604563,0.7604562738,12
1994-03-01,22.13872500091810,1.00754717,0.7547169811,12
1994-04-01,22.30455814699390,1.007490637,0.7490636704,12
1994-05-01,22.55330786608860,1.011152416,1.115241636,12
1994-06-01,22.96789073129740,1.018382353,1.838235294,12
1994-07-01,23.29955702344920,1.014440433,1.444043321,12
1994-08-01,23.54830674254380,1.010676157,1.067615658,12
1994-09-01,23.87997303469560,1.014084507,1.408450704,12
1994-10-01,23.96288960771440,1.003472222,0.3472222221,12
1994-11-01,24.12872275379020,1.006920415,0.6920415225,12
1994-12-01,23.96288960771440,0.9931271478,-0.6872852234,12
1995-01-01,23.96288960771440,1,0,12
1995-02-01,24.12872275379020,1.006920415,0.6920415225,12
1995-03-01,24.29455589986610,1.006872852,0.6872852234,12
1995-04-01,24.46038904594200,1.006825939,0.6825938567,12
1995-05-01,24.87497191115080,1.016949153,1.694915254,12
1995-06-01,25.37247134937840,1.02,2,12
1995-07-01,25.95288736062480,1.022875817,2.287581699,12
1995-08-01,26.11872050670070,1.006389776,0.6389776358,12
1995-09-01,26.28455365277650,1.006349206,0.6349206349,12
1995-10-01,26.45038679885240,1.006309148,0.6309148265,12
1995-11-01,26.61621994492830,1.006269592,0.6269592477,12
1995-12-01,26.28455365277650,0.9875389408,-1.246105919,12
1996-01-01,26.11872050670070,0.9936908517,-0.6309148265,12
1996-02-01,26.20163707971950,1.003174603,0.3174603174,12
1996-03-01,26.45038679885240,1.009493671,0.9493670887,12
1996-04-01,26.86496966402290,1.015673981,1.567398119,12
1996-05-01,27.19663595617470,1.012345679,1.234567901,12
1996-06-01,27.61121882138350,1.015243902,1.524390244,12
1996-07-01,28.10871825957280,1.018018018,1.801801802,12
1996-08-01,28.44038455172460,1.01179941,1.179941003,12
1996-09-01,28.52330112478160,1.002915452,0.2915451896,12
1996-10-01,28.68913427085750,1.005813953,0.5813953488,12
1996-11-01,28.93788398995220,1.00867052,0.8670520231,12
1996-12-01,29.02080056300920,1.00286533,0.2865329514,12
1997-01-01,29.02080056300920,1,0,12
1997-02-01,29.02080056300920,1,0,12
1997-03-01,29.10371713602800,1.002857143,0.2857142857,12
1997-04-01,29.35246685516100,1.008547009,0.8547008548,11
1997-05-01,29.18663370908510,0.9943502825,-0.5649717514,11
1997-06-01,29.43538342817980,1.008522727,0.8522727272,10
1997-07-01,29.68413314731270,1.008450704,0.8450704226,10
1997-08-01,29.76704972033150,1.002793296,0.2793296089,10
1997-09-01,29.93288286640740,1.005571031,0.5571030641,10
1997-10-01,30.26454915855910,1.011080332,1.108033241,9
1997-11-01,30.34746573157790,1.002739726,0.2739726027,9
1997-12-01,30.84496516980550,1.016393443,1.639344262,9
1998-01-01,31.83996404626080,1.032258065,3.225806452,11
1998-02-01,31.67413090018490,0.9947916667,-0.5208333333,11
1998-03-01,31.50829775410900,0.9947643979,-0.5235602094,11
1998-04-01,31.75704747320370,1.007894737,0.7894736842,11
1998-05-01,32.25454691143130,1.015665796,1.566579634,9.5
1998-06-01,33.08371264181060,1.025706941,2.570694087,9.5
1998-07-01,34.07871151826590,1.030075188,3.007518797,9.5
1998-08-01,34.24454466434170,1.00486618,0.4866180049,9.5
1998-09-01,34.82496067558810,1.016949153,1.694915254,9
1998-10-01,35.90287612506220,1.030952381,3.095238095,9
1998-11-01,36.31745899027100,1.011547344,1.154734411,9
1998-12-01,35.57120983294870,0.9794520548,-2.054794521,9
1999-01-01,34.82496067558810,0.979020979,-2.097902098,9
1999-02-01,34.41037781041760,0.9880952381,-1.19047619,9
1999-03-01,34.32746123736050,0.9975903614,-0.2409638555,8
1999-04-01,34.41037781041760,1.002415459,0.2415458938,8
1999-05-01,34.74204410256930,1.009638554,0.9638554217,8
1999-06-01,34.82496067558810,1.002386635,0.2386634844,8
1999-07-01,35.15662696773990,1.00952381,0.9523809524,8
